date	Aggie.V4.rep1	Aggie.V4.rep2	Aggie.V4.rep3	Aggie.V4-AS.rep1	Aggie.V4-AS.rep2	Aggie.V4-AS.rep3	Barbee.rep1	Barbee.rep2	Barbee.rep3	Barbee-AS.rep1	Barbee-AS.rep2	Barbee-AS.rep3	Morrow.rep1	Morrow.rep2	Morrow.rep3	Holland.rep1	Holland.rep2	Holland.rep3	Aggie.V1.rep1	Aggie.V1.rep2	Aggie.V1.rep3	Aggie.V3.rep1	Aggie.V3.rep2	Aggie.V3.rep3	Aggie.VE.rep1	Aggie.VE.rep2	Aggie.VE.rep3	Haley.rep1	Haley.rep2	Haley.rep3	Cooper.rep1	Cooper.rep2	Cooper.rep3	Pride.rep1	Pride.rep2	Pride.rep3	Aggie.V6.rep1	Aggie.V6.rep2	Aggie.V6.rep3
6/6/22	4094084445	11319000000		9067934201	3758875269	1139810208	335040000000	252850000000		139230000000	221100000000	185910000000	31861000000	36799000000	32024000000	11963000000	6187766015	10040000000	26087000000	38603000000	21935000000	37210000000	39869000000	17761000000	7621723127	4776528054	2121111771	10239000000	7587354562	7916812764	103760000000	666552584	11380000000	128840456					
6/13/22							122855000000	114495000000	120129000000	105367000000	80280963814	97294393435	197988000000	62281800326	270688000000	1396285734	408127887	1807246389	555906000000	604718000000	422697000000	219761000000	222896001	152046000000	558401000000	408580000000	294067000000	22861229122	83362976857	29611341040	227086000000	188009000000	116985000000	60411843276	37560119206	74891420375			
6/20/22	71207000000	41582000000	1786090170	93488000000	80975000000	90006000000	150420000000	3892878	38476000000	220100000000	117720000000			17488000000		25857790	365575074	654987954	194850000000			97046000000	123330000000	60081000000	11932000000	11629000000				558405100	35293000000	3496353156	24554000000	238242445	828779336	283342765			
7/1/22	5590971499	11526000000	140761721	35583000000	5692159852	15147000000	21457616	19542000000	18033000000	15085000000	30901000000	25332000000	17869000000	7638507040	10572000000	6433969965	3836002210	512105331	44890000000	50419000000	79233	85023000000	96316000000	13608000000	5616442	9300731	13549369	800859249			195830000000	162610000000	62315000000	63171000000	67758000000	32357000000			
7/5/22	30027930975	88314693965	124488000000				4051664232	580593756	215296296	17256993792	13971302886	4719793985	1033403430	1059254127	1714615125		218011577	335164693	52585605969	19486330909	25389112816				13409582	48227145	78350733	1741035117	1219602584	3256983532	106796000000	72803491151	16857551990	7781942572	7460021059	83020514			
7/12/22	76157000000	25263000000	39424000000				104630000000	97186000000	79504000000	63449000000	70766000000	46824000000	151600000000	140160000000	83824000000	15216000000	205213173	220057513	5923602388	4994978709	4526573650	168210000000	205650000000	66346000000	4452385712	6097158878	5350338432				207990000000	186190000000	167920000000	13789000000	44746000000	31537000000			
7/25/22	8942110745	7660971862	5006005720	1516200000000	1374700000000	1831600000000	32766000000	36485000000	44258000000	2636332203	3307490449	2182906483	23975000000	23284000000	22827000000	630112353	570981184	618703146	3625298257	4077864969	6004948742	47073000000	69128000000	49325000000	219779694	297338721	223790296	11405000000	11423000000	5461370694	181820000000	196060000000	234690000000	19303000000	24273000000	21815000000			
8/1/22	2350000000	1740000000	4040000000										10400000000	8880000000	9810000000	103000000000	105000000000	92000000000	53000000000	27500000000	21400000000				15700000000	25000000000	26200000000	22800000000	15300000000	17500000000									
8/8/22	6329362403	5908719632	6220118993	31178000000	25570000000	33223000000	4551917081	1743165827	2514315084	7007914269	6188765141	6091585052	3915023665	4467596968	6046565558	16675000000	19215000000	15600000000	30978000000	32279000000	28104000000	5493739041	5813393393	3747430365	176390000000	235880000000	155610000000	3331631987	3055482756	4213635693	92451000000	49564000000	64169000000						
8/16/22	7727180278	9482112632	14870000000	377062564	377535186	381646715	14166000000	16702000000	16039000000	33999000000	36123000000	12211000000	1694399236	2867216405	4545274853	3932365397	3704804943	3130641109	55995000000	74349000000	52533000000	69947000000	70532000000	32763000000	63080000000	105290000000	121000000000	254240000000	152450000000	218050000000									
