date	Aggie V4	Aggie V4-AS	Barbee	Barbee-AS	Morrow	Holland	Aggie V1	Aggie V3	Aggie VE	Haley	Cooper	Pride	Aggie V6
03/14/23	224904.0727	860651.3397	1679392.862	679939.6343	2384433.167	28007780.83	3606838.603	3902537.821	11650714.27	3293948.4	3315120.703	8598792.983	
03/15/23	128817.393	669469.2447	1058425.282	521173.618	682038.5043	576728.4163		181663.985	4554104.227	2217623.747	13151482.85	852175.7247	
03/20/23	44219388.47	158303968.7	1684879.895	2421803.475	646486.628		1392495.487	346412.665	1703619.832		2175497.58	1345838.341	
03/22/23	3226403.843	2004865.927	1004134.56	2541680.067	892985.336					579959.7855	6733181.867		
03/27/23			112875.4849	36606.8716	43819.2353		1357259.562	28004.6879		453545.0393	56703.5077		
03/29/23	56014.8739						86856.56663	64183.8258		38056.7212	57278.66275		
04/03/2023	95578.2494	297212.7947	168844.4815	42127.5952	212198.7183	2078753.83	146625.0497	162483.916	123651.7304	58171.96853	2719062.973	628825.1947	
04/05/2023	19512.93965	33289.56015	1038351.577	81238.74717	382406.435					25901.03265		49313.04935	
04/10/2023			1036133.933	1331620.023							243821.7817		
04/12/2023	81669.08737	329976.7127	770651.2057	1931696.233	291845.578			1088991.054	4634286.937	158762.796	92913.90315	919192.8297	
04/17/2023	82579726389	44873064692	17507598364	7417606593	22357693839	3.74908E+11	69733294198	16250616218	5130791339	3149234943	9.73379E+11	62356638355	
04/19/2023	48021.4406	284734.371	318741.7677	154625.2697	74220.33925		4403848.427		132286.8113	39242.46425			
04/24/2023	658454.192	873158.907	2804247				13099.89684	2690295.236	108156.1524		42673.6385		
04/26/2023								340747.824		334681.4347		123138.8369	
